battle;article;date;state;outcome;start_date;victory;battle_location
Action of 30 May 1781;https://en.wikipedia.org/wiki/Action_of_30_May_1781;May 30, 1781;Barbary Coast;British victory;1781-05-30;British victory;
Battle of Dogger Bank;https://en.wikipedia.org/wiki/Battle_of_Dogger_Bank_(1781);August 5, 1781;North Sea;British victory;1781-08-05;British victory;54.724, 2.769
Battle of Monck's Corner;https://en.wikipedia.org/wiki/Battle_of_Monck%27s_Corner;April 14, 1780;South Carolina;British victory;1780-04-14;British victory;33.1966666667, -80.0066666667
Second Battle of Martinique;https://en.wikipedia.org/wiki/Battle_of_Martinique_(1780);April 17, 1780;Martinique;Patriot victory;1780-04-17;Patriot victory;
Siege of Fort Watson;https://en.wikipedia.org/wiki/Siege_of_Fort_Watson;April 15-23, 1781;South Carolina;Patriot victory;1781-04-15;Patriot victory;33.53896, -80.43783
Hudson Bay Expedition;https://en.wikipedia.org/wiki/Hudson_Bay_Expedition;August 8, 1782;Rupert's Land;Franco-Patriot victory;1782-08-08;Patriot victory;58.7971583333, -94.2134277778
Battle of Great Bridge;https://en.wikipedia.org/wiki/Battle_of_Great_Bridge;December 9, 1775;Virginia;Patriot victory: Lord Dunmore's loyalist force is defeated.;1775-12-09;Patriot victory;36.7197222222, -76.2386111111
Battle of Saint-Pierre;https://en.wikipedia.org/wiki/Battle_of_Saint-Pierre;March 25, 1776;Quebec;Patriot victory;1776-03-25;Patriot victory;46.92, -70.6294
Battle of Chestnut Neck;https://en.wikipedia.org/wiki/Battle_of_Chestnut_Neck;October 6, 1778;New Jersey;British victory;1778-10-06;British victory;39.5446, -74.4614
La Balme's Defeat;https://en.wikipedia.org/wiki/La_Balme%27s_Defeat;November 5, 1780;Quebec;British-Iroquois victory;1780-11-05;;
Siege of Fort Stanwix;https://en.wikipedia.org/wiki/Siege_of_Fort_Stanwix;August 2-23, 1777;New York;Patriot victory: British fail to take Fort Stanwix;1777-08-23;Patriot victory;43.2105555556, -75.45525
Battle of Red Bank;https://en.wikipedia.org/wiki/Battle_of_Red_Bank;October 22, 1777;New Jersey;Patriot victory;1777-10-22;Patriot victory;39.871371, -75.18941
